,Kt1,Kt2,Kt3,Kt4,Kt5,Kt6,Kt7,Kt8,Kt9,Kt10,Kt11,Kt12,Kt13,Kt14,Kt15,Kt16,Kt17,Kt18,Kt19,Kt20,Kt21,Kt22,Kt23,Kt24,Kt25,Kt26,Kt27,Kt28,Kt29,Kt30,Kt31,Kt32,Kt33,Kt34,Kt35,Kt36,Kt37,Kt38,Kt39,Kt40,Kt41,Kt42,Kt43,Kt44
Ktr32,0.01881998,0.035094784,0.044042826,0.047450554,0.047104416,0.044790861,0.042296338,0.041065005,0.041171863,0.042349627,0.044269065,0.046353172,0.047962999,0.048627816,0.048549774,0.048099241,0.046883108,0.047066354,0.047737739,0.032607129,0.01136569,0.0116387,0.024059613,0.05029829,0.087840849,0.123774437,0.411292714,0.762231168,0.852316971,0.842140509,0.817443431,0.790110751,0.749905485,0.677970113,0.559855788,0.352452503,0.246898901,0.185761641,0.095089041,0.205176466,0.096137761,0.135873891,0.137389283,0.116375145
Ktr33,0.035323197,0.043026441,0.046249042,0.046312494,0.044538291,0.042247928,0.040762897,0.041047093,0.042634,0.044699505,0.046531193,0.047863452,0.048542369,0.048501359,0.048023135,0.047477735,0.046954558,0.047106285,0.047908082,0.027277421,0.009193277,0.014141066,0.026594443,0.056505033,0.095358805,0.125295903,0.448729988,0.785460879,0.855349812,0.841221962,0.81506088,0.78756192,0.746871937,0.67046182,0.550302951,0.333459679,0.241969199,0.181657023,0.087724264,0.22042256,0.084141528,0.142757258,0.1368027,0.127639333
Ktr34,0.042956721,0.045851482,0.04623377,0.045016536,0.043112727,0.041435292,0.040897181,0.042089006,0.044312035,0.046545202,0.047969718,0.048575919,0.048556418,0.048117678,0.047521548,0.047043726,0.04704193,0.047315177,0.047250201,0.022540822,0.007732775,0.016538916,0.029829112,0.062578228,0.10221485,0.130363438,0.485570102,0.802469666,0.855929056,0.840518976,0.812656141,0.785221043,0.743051683,0.663009232,0.539035878,0.316916251,0.236125336,0.176798742,0.08336239,0.230920918,0.075715945,0.149002182,0.136939154,0.139274728
Ktr35,0.037924633,0.043641691,0.046101615,0.046294256,0.045209465,0.043837091,0.043166988,0.043884257,0.045455011,0.047040612,0.047975372,0.048285386,0.048169696,0.047818974,0.047390399,0.047032781,0.047017861,0.047722281,0.045306054,0.018950995,0.007334518,0.018527571,0.033912345,0.068330001,0.107668731,0.141203812,0.52034186,0.811243311,0.853607591,0.839472876,0.810520511,0.783143136,0.738161108,0.655646653,0.524533038,0.303941033,0.229162421,0.17065287,0.083768463,0.233615101,0.072595603,0.153633668,0.137633323,0.146165375
Ktr36,0.027459057,0.039751776,0.046569829,0.04926994,0.049208833,0.047743231,0.046229857,0.045716694,0.046016756,0.046634318,0.047155916,0.047497141,0.047655847,0.047638821,0.047488585,0.047256591,0.04700193,0.047878492,0.042104614,0.01620727,0.007955097,0.020264137,0.038773952,0.074145136,0.111581524,0.158213572,0.552557141,0.814582504,0.850140768,0.837759281,0.808550003,0.780791321,0.732427757,0.648000241,0.507365142,0.293878157,0.22190881,0.163184271,0.089163981,0.228347775,0.074565611,0.156263649,0.138337904,0.146675364
Ktr37,0.02154913,0.038357171,0.048008823,0.052166048,0.052490805,0.050645056,0.04829076,0.046767744,0.046127296,0.04609857,0.046423368,0.046894091,0.047315786,0.047533639,0.047553381,0.047420879,0.047175455,0.047215117,0.03779661,0.013795389,0.009452672,0.022021159,0.044289014,0.080551579,0.113964642,0.181331709,0.581973589,0.816491665,0.847834553,0.835112383,0.806541807,0.777480749,0.726206966,0.639594115,0.488625958,0.28562809,0.215451171,0.15448251,0.099384559,0.215686381,0.080923708,0.156650793,0.1384101,0.1400388
Ktr38,0.027461314,0.042364521,0.050512078,0.053530179,0.05304502,0.050682796,0.048069704,0.046500834,0.045946872,0.046047397,0.046467285,0.046972599,0.047354694,0.047466002,0.047403247,0.047324227,0.047590882,0.045281892,0.03263656,0.011361349,0.01163907,0.024059662,0.050298257,0.087840859,0.114995513,0.210091921,0.608613099,0.820149615,0.848255195,0.831461926,0.804345161,0.772802794,0.719793442,0.630035641,0.469273629,0.278275932,0.210550591,0.144778839,0.113879545,0.196750461,0.090686023,0.154758811,0.137397172,0.12667094
Ktr39,0.041571378,0.049605305,0.053065335,0.053210485,0.051299772,0.048592213,0.046346826,0.045507369,0.045756576,0.046461919,0.047087365,0.047482853,0.047594814,0.047423116,0.047181378,0.047136658,0.047785177,0.042102254,0.027294142,0.009192145,0.014140803,0.026594578,0.056504998,0.095358812,0.11551563,0.242406718,0.633554554,0.825432793,0.850010089,0.827519884,0.802017493,0.767453742,0.713239384,0.619265181,0.449723787,0.271645315,0.206665825,0.134871275,0.130553215,0.174867961,0.101742243,0.151371587,0.135606634,0.11171167
Ktr40,0.057532416,0.056642209,0.054377405,0.051380258,0.048293021,0.04575795,0.044417298,0.04466075,0.045867715,0.047165032,0.047860844,0.047988501,0.047762653,0.047398341,0.047112151,0.047121058,0.047166436,0.037818068,0.022542825,0.007735021,0.016538051,0.029829315,0.062578195,0.102214853,0.116532505,0.275783318,0.658141084,0.83139204,0.850966914,0.824193781,0.799668277,0.762406102,0.706536362,0.607306343,0.430256434,0.265744505,0.202930046,0.12569952,0.146923576,0.153918926,0.111700443,0.147478048,0.13353606,0.10148203
Ktr41,0.069335462,0.06049374,0.053573675,0.048488497,0.04515144,0.043475735,0.043374614,0.04462366,0.046447857,0.04793454,0.048409185,0.048149832,0.04767266,0.04739412,0.047331745,0.047403338,0.045263964,0.032675545,0.018941958,0.007338952,0.018526397,0.033912564,0.068329976,0.107668731,0.118700906,0.308381497,0.683449007,0.83722611,0.849592093,0.822110674,0.797372857,0.758401532,0.699674041,0.594375453,0.411047236,0.260540067,0.198692087,0.117881415,0.161233414,0.136820796,0.118850409,0.143923416,0.131649862,0.100478451
